uid,restaurant name,rating,content,Label #1,Label #2,Label #3,Label Eval
ChdDSUhNMG9nS0VJQ0FnSURPNGRIY25RRRAB,"PEN & INC, NTU",5,"This place gets 5 stars as it is the only good joint that accepts reservations at NTU...

Pretty decent selection of food and drinks. Service can always be better.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUN1OHYyMHRRRRAB,Yakiniku Like (AMK Hub),5,"I was welcomed by the friendliest n helpful staff at AMK Hub branch, Beatrice. Being the first timer here, I was totally lost.. Despite the busy dinner hours at 7.30pm, She patiently assisted me n helped me thru the recommendation. I chose the Premium Beef set, and it was mind blowing.. the Wagyu beef literally melt in my mouth.. Best Kimchi.. Best Soup.. Yummilicious is definitely understatement. I was definitely return with my “Villagers” Lol",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUM2emVMYmFREAE,Springleaf Prata Place - Thongsoon,3,"Came today at around 5pm as this is still my niece favourite Prata hotspot. Same usual issue of tables and chairs uncleaned, oily spots on table and crumbs on chairs. They have changes in ordering as now drinks have size difference which was not highlighted upon ordering. All drinks came in large sizes and as from the images below, my niece can't even finish the super large ice Milo. Personally felt that cashier should highlight to customer when ordering and not by default assuming we want largest size. Food aspect is simple, ordered Kosong/Egg Prata won't go wrong and that's the main reason for bringing my family back. Damage was $30++ for 5 Kosong, 3 Eggs, 1 Mutabak and 3 large drinks.",0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUM2M29hakR3EAE,Sinar 456 Malay Seafood,5,"Hor  fun  my choice, never miss",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURhdzd5bml3RRAB,Papa Jones BBQ and Grill,5,"Don't let the normal outlook of the stall fool you. The food is really damn good, flavour starts off like not very much but at the end of the dish you will be wonder where all the food went!",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUN3NmFXOTB3RRAB,Makan,5,Delicious Muslim Malay Food,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNlbWZtMEpREAE,Malaysia Boleh! @ Northpoint City,1,Tasted nothing like Malaysia Bak kut Teh and claypot rice. Not worth at all.,0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUMycFAzdmpRRRAB,Malaysia Boleh,1,"Wafer was warm and crispy on the outside. Durian was the cheap kind, on the watery side, hardly any sweetness nor was it aromatic. And it was $6.80. Only went to try it because of some food blogger. And I wanted to believe it was good. Disappointing.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUN1dnFhXzRBRRAB,Arabian Nights,4,Plenty of ingredients and feels cleaner than other indian rojak stalls (didnt see any flies). Loved the potato and beancurd. Dipping sauce is served hot and on the sweeter side. $6 for the whole plate.,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURHanJxMGJREAE,Chester Express/My Western Bar,5,Love their Western food. ❤❤,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNlX3VHWVJnEAE,Al-Hayat,4,Fried mee goreng look good but on the blant side,0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNPNGVIZ1ZBEAE,Happy Joy Restaurant,1,"Probably my first & last time eating @this restaurant. Had dinner last night, sad to say, the restaurant was unable to cope with the promotions. Observed some customers started to complain on food serve not hot, flow is slow and potion is miserable. Some even left without waiting for the 2nd round of order.😢",0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNzdy0yX1hBEAE,Hiang Ji Cantonese Roasts,1,"Below average roast meat, poor service, overprice.
- No menu to see the price. Ordered 1 plate of 散拼 18$ (roast duck, roast pork, char siew).
- 1st bite, make me wonder why so many people eating compare to row of  stall beside it? Taste cannot make it, oily fatty and not crispy.
- Rude uncle using the dirty cloth to wipe the chair just before we are sitting down.
Zero star for it.",0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNVNU42RWNREAE,Silk Road Restaurant - Amara Singapore,2,"The food was a huge disappointment. I used to come here often a few years ago and nothing tastes the same now. They probably changed their chefs, and skimmed on the material. Service was top-notch.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSURpNGVHX3VnRRAB,Tamako Meal,5,"Don't expect restaurant fare, in fact, Tamako's greatest selling point is the very heart-warming, homely meal you can't help but get addicted to.

Cozy place but still spacious: Portions are quite generous and doesn't really break the bank. 9/10 for me with the missing point easily gained if you request for the sides to be served separately.

Will be back!",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUMweTdtWE13EAE,OUE Social Kitchen,5,Very good staff and experience!!! Good time for team bonding,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNHN09qdkJ3EAE,Papa Jones BBQ and Grill,5,"Decent for a coffeeshop western. Cheap too. Despite long queue and only 1 uncle cooking, food come out fast and hot. 👍👍👍",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUMyc3ZQbW9BRRAB,Xin Peng Chinese Restaurant,3,BBQ sticks taste great..,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURTN1pDc3l3RRAB,Guzman y Gomez - Novena Square,4,"Hi there,

I love your food and there's no doubt on the quality. But recent my 2 delivery orders missed one item each. Last time set menu fries was not packed and today chipotle mayo was not packed. While understanding busy delivery orders, it is important to ensure customers to receive what they have ordered. Would appreciate more attention to pack better next time. Thanks.",2,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNDbDZfNlhnEAE,Springleaf Prata Place - Thongsoon,5,"This place serves the most innovative prata creations, as well as fantastic well-rounded normal pratas with delicious drinks.

Their pratas are always sweet, eggy and delicious, their curries a mild spicy, sweet, milky and full of flavour, their murtaburger is the bomb, their tandoori chicken murtabaks are always juicy and never dry, their poached egg hollandaise sauce and ham combo is delicious, their portobello mushroom and mozzarella cheese pratas defy all expectations while their briyani is soft, dripping with a melt in your mouth lamb shank.

If you don't have a quirk for crispy pratas, or a preference for spicy curries and just don't know where to go - this place has the quality and variety down pat. Their kopi cinos and the cinos are super yummy too.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURlb04tcUp3EAE,KFC NTU,5,I love having my lunch here. the atmosphere is chill and the windows are bright. What a Beautiful day~ Thank you Phillip for giving me this strength. See you again!,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURzeWYzVDFBRRAB,Papa Jones BBQ and Grill,4,"The breaded chicken cutlet is big and well fried but the meat is bland. The tenderness of pork ribs ($16.90) is decent, comes with garlic chilli sauce which is moderate sweet.

The corns are sweet. Curl fries are well fried. Fried rice and mashed potato are average. Coleslaw is watery and below average.

In general, the portion is huge and main dishes taste better above average. Quick fix in the neighbourhood area.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNlMDY3emZBEAE,Semma Singapore,5,"It’s was my birthday treat at this restaurant. The food and the ambiance was fantastic!!! The dishes were different and so sooo delicious. I love the sambal stingray Bakar and mutton Satti sorru .
I must give a shout-out to staff Mathi for his great service and hospitality at seema . Thank you staff (Naren & mathi )of semma for allowing me to celebrate my birthday there at 12 mn giving us abit of time to clear up our food and drinks .
Thank you for your wishes too. The food, service & ambiance made my day.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNLX296TWZBEAE,Ichikokudo Hokkaido Ramen,2,"I gave a 2star only because the sides of the Hokkai Seafood BBQ tasted off/sour.. (like those u will find in example: mixed veg rice the vegetables left for quite awhile it starts to go bad). The Ramen was good though.. Hope the team will conduct regular checks during their off peak..

Hi Sir/Mdm,

My visit was at 07/04/21 17:27 and table 56.

I just want to feedback for you and your team to take note as other customers might not be that understanding or forgiving.

Your food is good, don't let the good name be pulled down by these small areas..",2,2,0,2
ChdDSUhNMG9nS0VJQ0FnSURtdjlUUDdnRRAB,Swatow Seafood,4,"Usually enjoy the century egg porridge, red bean banana and crystal dumplings here (not at our recent visit however). Find the other standard items - siew mai, har kao, char siew bao, liu sha bao, carrot cake - quite average. Not a fan of the egg tart (neither buttery nor flaky) or chee cheong fun (too thick).

We visited a few times in the last 2 years when they stopped push cart service. Now that they have resumed that, satisfaction has dropped somewhat. The fried items were dripping in oil. Given earlier experiences, will give it another shot before revising ratings downwards.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUNtbE9UWjV3RRAB,Shinjitsu Ramen @ AMK,2,"I'm really sorry but have to say quality is quite bad, broth tasteless, meat is hard. Got stomach-ache right after the food, terrible. Not worth the money.",0,0,0,0
ChRDSUhNMG9nS0VJQ0FnSURHNVBjcBAB,Malaysia Chiak! @ Centrepoint,1,"If there is a zero star, I will give that. Young man forgot my ckt orders when there are NO customers around. Collected my money and continue playing game till I check on him 15mins later.
Claypot rice prepare by the fat guy is so so. Not enough meat and lap chiong. Not fragrant compare to hawker centre.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUQyMnYtVmlBRRAB,Chirashi Sora,5,"We order shrimp, puffer fish (is sweet, I think kid probably like it alot) and salmon don . Value for money ☺️ look at the menu you might think it costly  , but the portion is huge(can share as 2pax), as you can see the unagi don 😁",1,1,1,1
ChRDSUhNMG9nS0VJQ0FnSUQwNVpoXxAB,Wee Nam Kee Hainanese Chicken Rice Restaurant,5,"Fast to get seated due to ample seating spaces even during lunch time today. Only about 10-15 mins to get our food after ordering.

The meal which comes with either an oyster vegetable or 3 dumplings is very good! Always order extra rice because their rice portion is smaller but their rice is so yummy. Sticky and fragrant, addictive!

Although the bill came up to $20 for two because we added extra char siew and gizzard to our chicken rice sets, it’s totally worth the money for such a satisfying meal. It’s easy to spend $20 in town on food that’s way less satisfying or quality.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUM2ekxIZnZnRRAB,Springleaf Prata Place - Thongsoon,4,The ultimate prata series are savoury. This is the to-go place if you are looking for creative creation of prata dishes. Would have given a 5 stars if not for the long wait (mostly due to slow customers turnover for dining in) and the gap in service (table not cleaned thoroughly).,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUQ0eXZMV3VRRRAB,Hua Zai HK Style Roasted Delight Rice Noodle,1,"Order from grab food , no sauce no chili when i order half chicken. Taste dry",0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNXN2NuVE5REAE,Hong Fan Tian Mala Hotpot,3,Spicy Spicy Spicy 🌶🌶🌶🌶🌶,2,2,2,2
ChdDSUhNMG9nS0VJQ0FnSURHek02cnN3RRAB,Chirashi Sora,5,This is our first visit. Impressed by the nice food and ambience.,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURtbFlfOW1RRRAB,Ministry of Rojak,1,"Measly portion for something worth $28. Overhyped and over rated. And give 2 small containers for sauce. The standard cucumber and onion also nowhere to be found.. like only a handful of those.. literally handful. Buyer beware, if you want to waste money, there are other places with more portion that can give cheaper and same quality",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSURXbllDUV93RRAB,Mookata Lor!,5,"Soup is yummy. Meat is well marinated. Prawn is fresh, scallop is big and delicious. Overall is good. Worth the try. Will definitely come back again.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURHcXZMOUh3EAE,The Chef's Place,5,"Pretty large portion for the price. Ordered multiple times and quite like the food. Generally prefer their grilled options to their fried options, and some of my favourites are Grilled Dory, Chicken Chop & Fish & Chips. For sides their curly fries, fresh salad and mac & cheese are pretty good imo. Portion for pastas is kinda small, so I wouldn't go for them.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNXeHZEcVVnEAE,Ah Gu Kaka Wa 国昌川味馆,3,"Tried their signature frog pot (original) and thought it was not bad. The soup goes really well with the rice. The grilled eggplants was garlicky and went well with rice as well. Egg plant is def a must try.
The lamb skewers were OK, not gamey at all. The tomato egg drop soup was a little bland but considering the strong flavour profiles of the other dishes, I was OK with it.
The cold cucumber dish was so-so tho. Would recommend ordering their grill veggie skewers instead.

Service was a little slow considering that there wasn't a lot of customers in the shop. The interval between the dishes were quite big and the cold cucumber dish which is an appetiser came right at the end. Def an area worth improving for the shop.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURzaUl1SzdnRRAB,Aman Restaurant,5,Nice place to eat at. Food nice. Price ok,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNhektLOEtREAE,Kedai Makan Muhajirin,5,"I bought lontong and mixed rice. I was so happy the lontong is good. So good. The mixed rice which I have beef rendang, cockles and vegetables taste is outstanding. If u are at Toa Payoh in the morning don't miss this shop for breakfast. Worth the money. Outstanding overall experience",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUR1LXJ2SU5nEAE,"ZITIMAMA'S, NTU",5,"Their pasta is way much better than Pastamania.
Price may not be so student friendly.  But at this point of time, there is a overall hike in food price for Singapore.  I am glad they didnt compromise on the quality.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURTbnEtb25BRRAB,Bangkok D.K Thai Food,4,Good place for thai korean foods...,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURxaVl2NGl3RRAB,Yakiniku-GO @ Jurong Point,4,"Very decent Japanese BBQ chain!

As it’s name suggests, they do have a dine-in limit of 50 minutes per table, which actually is more than sufficient, given that the meals here are individually prepared, and are cooked within minutes.

Prices are rather affordable, but could add up really fast once you start ordering the ala carte dishes (100g of chicken at $3.90, super worth it!)

Will definitely return, given the quality and price! 👍🏻",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURzMk1QMlhnEAE,Malaysian Hup Kee Fishball Noodle (AMK),5,"The chef hand makes the fish balls and fish cakes. This is as authentic as it gets. Noodles (dried version) are al dente, topped with aromatic scallions and sauce. Be prepared to queue because everybody loves good food.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUN5Z1BLTXpnRRAB,Western express,5,Super place.,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURDMm9MUUl3EAE,Rathana Bhavan Indian Vegetarian Restaurant (B2 Kopitiam) - Yishun North Point,5,Friendly customer service and very delicious food..😍,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNNdmM2RFNBEAE,Happy Joy Restaurant,5,"i have never been to this restaurant or hotel. However, recently, i need to organise a little gathering in this vicinity. Happy Joy came up in the search. So i took a gamble. Ah Heng has been absolutely professional and helpful, not only in the arrangements, but his recommendations for ordering of food. The coffee pork ribs and the fried egg white scallops turned out to be really superb. The cuisine is Cantonese and though the pricing appeared steep initially but the servings is pretty substantial. Am glad to find another awesome restaurant in the vicinity. Thank you, Ah Heng!!",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNjdDZLRHBRRRAB,JWS Grille Factory,5,"The steak were absolutely delicious, perfect medium steak..
Thanks for the free nuggets for the birthday freebies!
We ordered via food panda, order# x0nh-guj3.
Cheers team.. Next time again 😍👌🏽",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNLcnBhX25nRRAB,Srisun,5,"I like their pratas because not so oily, and due to the crowd, pratas are fresh and warm.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNHdklYN1NREAE,Chirashi Sora,5,Our 3rd time here . A really nice drinking chillout izakaya place that we chanced upon .  We popped in for drinks once and were  surprised that the food  here are really good . Has been a weekly meetup place since that . Highly recommended !,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNPeDhuSmx3RRAB,Curry Times,4,"3.5 stars. Ordered the chicken curry with prata and yam paste. The curry was delicious, thick and flavourful. The prata can be crispier. The yam paste was at best average, tasted powdery, not the authentic orh nee.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUQwdXFfZG5nRRAB,Sembawang Traditional Claypot Rice,4,"We tried three different carbo - bee hoon, thick noodles and claypot rice. They were all yummy! Fortunately, for us, we ordered in advance; if not, we need to wait at least 30 minutes for the claypot rice.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURpLWRiTThBRRAB,Sembawang Traditional Claypot Rice,4,"Be prepared for one hr wait caz the Claypot rice was cooked from scratch! Tried the salted egg bitter, hakka fried pork, and of course Claypot rice. They were amazing",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUQ2alotOEZnEAE,Gu Ma Jia Private Kitchen,4,"The food is all very delicious. Went there to get a whole fish, which I looked forward to but too bad, they are out of all the whole fish and crabs. So we went ahead to order the rest and its all delicious. Worth the price. The place was very quiet at 7pm, as if I booked the whole place for myself. Service was great. Just too bad I can't get my whole fish. Will definitely come back for more, hopefully there's a whole fish available next.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURjeW9MQVJnEAE,ANDES by ASTONS @ SAFRA Toa Payoh,5,"ASTONS in Singapore is awesome! I always love the value for money. Their food is delicious, generous. Especially love their pasta salad! Yummy max. It's usually packed with people especially during weekend evenings.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNLel9Db2lBRRAB,Malaysia Local Delights,5,"Can’t go Malaysia now, at least can come here",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUN3M3Iyb2xnRRAB,Xin Peng Chinese Restaurant,4,Value for money. Taste quite good,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURPcV9xOEVREAE,The Malayan Council,5,"Amazing experience for my birthday celebration two nights ago! Food was delicious as always, portions were huge too. The lambshank mandhi I ordered was tender and soft. Ondeh2 cake tasted great too. Always loved the Malayan Council hospitality, as experienced at other outlets 👍🏼 Thank you to the friendly staff for making sure we enjoyed our dinner there!",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURXcWNHWGl3RRAB,Pin Hsiang Family Restaurant,2,Utterly disappointed with this family restaurant. Maybe because family so waiter & waitress who looks like bro & sis are super grumpy and rude. You step into the restaurant and no basic manners to greet customer. Nevermind. Tell them number of pax and get rude reply. Maybe they are not short of biz. Prices are not cheap for a hdb restaurant. Would not recommend.,0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUNZNnJEVWhBRRAB,Kedai Makan Muhajirin,4,"6.30am.Nasi lemak.mee siam.lontong.mee rebus.mee soto,is ready for breakfast.Their mee rebus is fantastic when add in tempeh and tahu.
Their lunch is also ready by 1030am.
It's cheap and all their dishes are good and fresh as the Pak Chik gets everything at the nearby market.Never come across any Malay stall compatible to this Stall in terms of good quality food.good pricing for all walk of life.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNtMVBUeXpRRRAB,Springleaf Prata Place - Thongsoon,5,"Totally awesome place to go for Prata. Conveniently located at Springleaf TEL, exit 2.
The plain prata is so good. If you like crispy prata, you have to try their cheese prata.
Also tried their Sugar Paper which was so crispy, thin and good. We couldn't get enough and ordered another one.
HIGHLY Recommended.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUMyeUtIWlZREAE,Sakunthala’s Restaurant,4,"Lady with bad attitude is no longer there. A few gentlemen with great attitude made my day.

Food is great",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUN1bU4tSl9RRRAB,Xing Hua 兴化,5,Food is tasty and staff very friendly 👍🏻,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURXM09LVmJBEAE,AL Zouq Foods & Caterer,4,"Great food & friendly service, reasonably price, tried the lamb shank bryani, it's very good, highly recommended",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURRZ3VudjBBRRAB,Aman Restaurant,4,"Love the food and drinks that they serve for their customers, especially their mee goreng ayam mamak! Some of the staff here, however, should learn to be more friendly when taking food orders from customers.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNXOU03ZktnEAE,Gim Tim Restaurant,1,"Tea was added with lots of water, asked to change but said that it was like that, but ended up being able to serve much darker pu er. Pretty sure they served pu er they even said they added water because they were afraid we couldnt sleep at night 😇
Pai gu was really hard!!
worse on top of all these is that toufu which is the fastest to make was not even served after 2 reminders...as we see food on other tables streaming in.
WORSE DINING EXPERIENCE DID NOT FEEL SINCERE AND REMORSEFUL.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUNDNEtyYTB3RRAB,Rusnah Cafe,5,"Great local Malay food. We came with our 3 kids, tried the Mee Rebus and the Gado Gado. Left very satisfied. And all for a very affordable price! Will come again.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNhMkk3amhRRRAB,Rasa Sayang Western Food,5,The fries are great. It has this soft potato flavour. The fried fish is huge! Had to share with my son. All in all good old school western food,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNXeU1PdG53RRAB,Shami Banana Leaf,5,Always delicious — same excellent taste since 25 years ago when I started patronizing their food court stall at Northpoint. Their Chicken Biryani is my absolute favorite!,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNjN2RuZU5BEAE,Papa Jones BBQ and Grill,4,"Came here to try after watching their FB marketing Champaign.

Chicken chicken chop with mushroom sauce, $7.50.  At first thought it’s definitely more expensive comparing with other coffeeshop western food. However they made it up with proportional portions and the mushroom sauce is really good.

Prawn Aglio Olio $8.90. Is pretty decent with 4 beautiful prawns that’s pretty well cooked.
However I feel that it’s a bit too spicy on the general side.

Overall it’s good enough for me to come back once in a while. Next time I’ll try their steak.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNLeTRXUEFREAE,SUSHI TEI,5,"Is a Saturday evening, having family dinner hence  we finally came.  Tonight we ordered as if we are in Johar Bahru. Ordered 20 over items.

The sashimi is fresh, curry is nice, upon is nice, fried cuttlefish is awesome.

Wow a very well spend dinner together with my family.  A little waiting time and is all worth it.

Staff here are all super friendly.
Happy mom happy kids.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNBNHBERkJREAE,Kam Jia Zhuang Seafood,4,"Definitely a good place for good Zhichar specials!  Why specials?  This family-managed business has absolutely what almost every food hunter would like to find and taste.  Good price,  ample parking lots,  good food,  friendliness,  special chef recommendations although most times have to wait.  With good food waiting is fine isn't it.",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURnbGRPZHVBRRAB,SUSHI TEI,3,"Revisited after few months and there's good improvement to the quality of food. Ordered Crispy Salmon Mentaiko, Iberico Pork, Salmon Sashimi(limited time 1-1 promo with UOB) and a Tendon. The Tendon fell short of expectation, but that again …",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURHaDdfOFlBEAE,Ichiban Boshi (Jurong Point),4,"Surprisingly waitin time for seats is not too long for a family of 5paxs, 15mins, on a Sat, 1315H. Food is tasty, portion is reasonable. Service is okay.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNTdWVHWFlnEAE,Mad Charcoal,1,"Had high expectations for this place, and ordered their Angus Steak for $35. Steak was greasy and overcooked — requested for medium rare, but got almost well done (see picture). Apparently their standards have dropped; went at 12pm when it was not yet crowded.",0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUM2c0pTeF9nRRAB,Lee Kwang Kee Teochew Cuisine,3,"First time trying with my family of 3. Previously they don't have dim sum but they do now.

We had:

1. Steam carrot cake
2. Steam beancurd roll
3. Steam Xiaolong Bao
4. Steam Prawn Chives Dumpling
5. Seafood Roll

Dim sum no GST but ala carte has.

Total damage is about $35.",2,2,2,2
ChdDSUhNMG9nS0VJQ0FnSUR5NTUyZjdBRRAB,&JOY Japanese Food Street (Jurong Point),3,Decent but overly priced.,2,0,2,2
ChdDSUhNMG9nS0VJQ0FnSURtN0tTNjF3RRAB,Papa Jones BBQ and Grill,4,"Ordered 2 rib-eye steaks with garlic merlot sauce at $16 each thanks to Shopee. Redemption was fast and easy. Good quality for the price - steak was juicy and tender with minimum amt of fat and loved the garlic merlot sauce, curly fries was crispy (I suspect it's the frozen ones you can get at the supermarket), corn was sweet and well flavoured, but I found the coleslaw to be too sweet. Overall, highly recommend!",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUR1c2JlZTBRRRAB,Malaysia Boleh @ Jurong Point,5,Nice food at an affordable price.,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURRenU2dnlBRRAB,Kia Hiang,1,Horrible attitude and service despite the decent food. Shop was empty at 11:30 and 3 out of 4 people have arrived but they won't let us order the food in advance.,0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSURDdzhHT1FBEAE,Jack's Place,4,Tried their off peak hour 1 for 1 deal. And it was ok. Food portion was huge. The doneness of the beef was overcooked when we ordered medium rare. The chicken was marinated well and delicious.,1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNjal9LQ0VREAE,Hong Kong Sheng Kee Pau,1,"Bought 2 big pork buns yesterday morning from compass point  sengkang.
Upon reaching home,  ate both and realize that the meat inside clump together and completely not tasty.  The buns must have been  kept overnight and heated up again otherwise the meat ought to be loose.
Hence there isn't any quality control or seems to be lacking.",0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSUNtcWQ2RGNREAE,Happy Joy Restaurant,5,"Good value and delicious ala carte buffet with generous portions. Seeing previous reviews, they have stepped up and the food was served to us hot and fast. Star of the menu got to be the soon hock fish, ee fu noodle and the sharks fin. Our table of 5 never stopped eating. Highly recommended.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUQyOTZ2d01REAE,Al Sahira Restaurant,5,"Superb prata. Slightly crisp on the outside, very fluffy on the inside. Curry is good as well and theres dalcha as well.

A much better place for your prata fix than a certain place two MRT stops down.",1,1,1,1
