restaurant name,rating,content,label,content_clean,Tokenized,predicted_subjectivity
"PEN & INC, NTU",5,"This place gets 5 stars as it is the only good joint that accepts reservations at NTU...

Pretty decent selection of food and drinks. Service can always be better.",1.0,This place get 5 star a it is the only good joint that reservation at Pretty decent selection of food and drink Service can always be better,"[[('This', 'DT'), ('place', 'NN'), ('get', 'VB'), ('5', 'CD'), ('star', 'NN'), ('a', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('the', 'DT'), ('only', 'RB'), ('good', 'JJ'), ('joint', 'NN'), ('that', 'WDT'), ('reservation', 'NN'), ('at', 'IN'), ('Pretty', 'NNP'), ('decent', 'JJ'), ('selection', 'NN'), ('of', 'IN'), ('food', 'NN'), ('and', 'CC'), ('drink', 'VB'), ('Service', 'NNP'), ('can', 'MD'), ('always', 'RB'), ('be', 'VB'), ('better', 'JJR')]]",0.7533333333333333
Yakiniku Like (AMK Hub),5,"I was welcomed by the friendliest n helpful staff at AMK Hub branch, Beatrice. Being the first timer here, I was totally lost.. Despite the busy dinner hours at 7.30pm, She patiently assisted me n helped me thru the recommendation. I chose the Premium Beef set, and it was mind blowing.. the Wagyu beef literally melt in my mouth.. Best Kimchi.. Best Soup.. Yummilicious is definitely understatement. I was definitely return with my “Villagers” Lol",1.0,I wa by the n helpful staff at Hub branch Being the first timer here I wa totally lost Despite the busy dinner hour at 730pm She patiently me n me the recommendation I chose the Premium Beef set and it wa mind blowing the beef literally melt in my mouth Best Best Soup is definitely understatement I wa definitely return with my  “  ”,"[[('I', 'PRP'), ('wa', 'VBP'), ('by', 'IN'), ('the', 'DT'), ('n', 'JJ'), ('helpful', 'JJ'), ('staff', 'NN'), ('at', 'IN'), ('Hub', 'NNP'), ('branch', 'NN'), ('Being', 'VBG'), ('the', 'DT'), ('first', 'JJ'), ('timer', 'NN'), ('here', 'RB'), ('I', 'PRP'), ('wa', 'VBP'), ('totally', 'RB'), ('lost', 'VBN'), ('Despite', 'IN'), ('the', 'DT'), ('busy', 'JJ'), ('dinner', 'NN'), ('hour', 'NN'), ('at', 'IN'), ('730pm', 'CD'), ('She', 'PRP'), ('patiently', 'RB'), ('me', 'PRP'), ('n', 'IN'), ('me', 'PRP'), ('the', 'DT'), ('recommendation', 'NN'), ('I', 'PRP'), ('chose', 'VBD'), ('the', 'DT'), ('Premium', 'NNP'), ('Beef', 'NNP'), ('set', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('wa', 'VBD'), ('mind', 'NN'), ('blowing', 'VBG'), ('the', 'DT'), ('beef', 'NN'), ('literally', 'RB'), ('melt', 'VBD'), ('in', 'IN'), ('my', 'PRP$'), ('mouth', 'NN'), ('Best', 'NNP'), ('Best', 'NNP'), ('Soup', 'NNP'), ('is', 'VBZ'), ('definitely', 'RB'), ('understatement', 'JJ'), ('I', 'PRP'), ('wa', 'VBP'), ('definitely', 'RB'), ('return', 'NN'), ('with', 'IN'), ('my', 'PRP$'), ('“', 'NN'), ('”', 'NN')]]",0.4261904761904762
Springleaf Prata Place - Thongsoon,3,"Came today at around 5pm as this is still my niece favourite Prata hotspot. Same usual issue of tables and chairs uncleaned, oily spots on table and crumbs on chairs. They have changes in ordering as now drinks have size difference which was not highlighted upon ordering. All drinks came in large sizes and as from the images below, my niece can't even finish the super large ice Milo. Personally felt that cashier should highlight to customer when ordering and not by default assuming we want largest size. Food aspect is simple, ordered Kosong/Egg Prata won't go wrong and that's the main reason for bringing my family back. Damage was $30++ for 5 Kosong, 3 Eggs, 1 Mutabak and 3 large drinks.",0.0,Came today at around 5pm a this is still my niece Same usual issue of table and chair uncleaned oily spot on table and crumb on chair They have change in a now drink have size difference which wa not upon All drink came in large size and a from the image below my niece cant even finish the super large ice Milo Personally felt that cashier should highlight to customer when and not by default assuming we want size Food aspect is simple ordered wont go wrong and thats the main reason for my family back Damage wa 30 for 5 Kosong 3 1 and 3 large drink,"[[('Came', 'NN'), ('today', 'NN'), ('at', 'IN'), ('around', 'IN'), ('5pm', 'CD'), ('a', 'DT'), ('this', 'DT'), ('is', 'VBZ'), ('still', 'RB'), ('my', 'PRP$'), ('niece', 'JJ'), ('Same', 'NNP'), ('usual', 'JJ'), ('issue', 'NN'), ('of', 'IN'), ('table', 'JJ'), ('and', 'CC'), ('chair', 'NN'), ('uncleaned', 'JJ'), ('oily', 'RB'), ('spot', 'NN'), ('on', 'IN'), ('table', 'NN'), ('and', 'CC'), ('crumb', 'NN'), ('on', 'IN'), ('chair', 'NN'), ('They', 'PRP'), ('have', 'VBP'), ('change', 'VBN'), ('in', 'IN'), ('a', 'DT'), ('now', 'RB'), ('drink', 'VBP'), ('have', 'VBP'), ('size', 'NN'), ('difference', 'NN'), ('which', 'WDT'), ('wa', 'VBZ'), ('not', 'RB'), ('upon', 'IN'), ('All', 'NNP'), ('drink', 'VBP'), ('came', 'VBD'), ('in', 'IN'), ('large', 'JJ'), ('size', 'NN'), ('and', 'CC'), ('a', 'DT'), ('from', 'IN'), ('the', 'DT'), ('image', 'NN'), ('below', 'IN'), ('my', 'PRP$'), ('niece', 'NN'), ('cant', 'NN'), ('even', 'RB'), ('finish', 'VBD'), ('the', 'DT'), ('super', 'JJ'), ('large', 'JJ'), ('ice', 'NN'), ('Milo', 'NNP'), ('Personally', 'NNP'), ('felt', 'VBD'), ('that', 'IN'), ('cashier', 'NN'), ('should', 'MD'), ('highlight', 'VB'), ('to', 'TO'), ('customer', 'NN'), ('when', 'WRB'), ('and', 'CC'), ('not', 'RB'), ('by', 'IN'), ('default', 'NN'), ('assuming', 'VBG'), ('we', 'PRP'), ('want', 'VBP'), ('size', 'NN'), ('Food', 'NNP'), ('aspect', 'NN'), ('is', 'VBZ'), ('simple', 'JJ'), ('ordered', 'JJ'), ('wont', 'NN'), ('go', 'VBP'), ('wrong', 'JJ'), ('and', 'CC'), ('thats', 'VBZ'), ('the', 'DT'), ('main', 'JJ'), ('reason', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('family', 'NN'), ('back', 'RB'), ('Damage', 'NNP'), ('wa', 'VBD'), ('30', 'CD'), ('for', 'IN'), ('5', 'CD'), ('Kosong', 'NNP'), ('3', 'CD'), ('1', 'CD'), ('and', 'CC'), ('3', 'CD'), ('large', 'JJ'), ('drink', 'NN')]]",0.38344155844155847
Sinar 456 Malay Seafood,5,"Hor  fun  my choice, never miss",1.0,fun my choice never miss,"[[('fun', 'NN'), ('my', 'PRP$'), ('choice', 'NN'), ('never', 'RB'), ('miss', 'VBD')]]",0.2
Papa Jones BBQ and Grill,5,"Don't let the normal outlook of the stall fool you. The food is really damn good, flavour starts off like not very much but at the end of the dish you will be wonder where all the food went!",1.0,Dont let the normal outlook of the stall fool you The food is really damn good flavour start off like not very much but at the end of the dish you will be wonder where all the food went,"[[('Dont', 'NNP'), ('let', 'VBD'), ('the', 'DT'), ('normal', 'JJ'), ('outlook', 'NN'), ('of', 'IN'), ('the', 'DT'), ('stall', 'NN'), ('fool', 'NN'), ('you', 'PRP'), ('The', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('really', 'RB'), ('damn', 'JJ'), ('good', 'JJ'), ('flavour', 'NNS'), ('start', 'VBP'), ('off', 'IN'), ('like', 'IN'), ('not', 'RB'), ('very', 'RB'), ('much', 'JJ'), ('but', 'CC'), ('at', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('the', 'DT'), ('dish', 'NN'), ('you', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('wonder', 'JJR'), ('where', 'WRB'), ('all', 'PDT'), ('the', 'DT'), ('food', 'NN'), ('went', 'VBD')]]",0.4009615384615385
Makan,5,Delicious Muslim Malay Food,1.0,Delicious Food,"[[('Delicious', 'NNP'), ('Food', 'NNP')]]",1.0
Malaysia Boleh! @ Northpoint City,1,Tasted nothing like Malaysia Bak kut Teh and claypot rice. Not worth at all.,0.0,Tasted nothing like and rice Not worth at all,"[[('Tasted', 'VBN'), ('nothing', 'NN'), ('like', 'IN'), ('and', 'CC'), ('rice', 'NN'), ('Not', 'RB'), ('worth', 'JJ'), ('at', 'IN'), ('all', 'DT')]]",0.1
Malaysia Boleh,1,"Wafer was warm and crispy on the outside. Durian was the cheap kind, on the watery side, hardly any sweetness nor was it aromatic. And it was $6.80. Only went to try it because of some food blogger. And I wanted to believe it was good. Disappointing.",0.0,Wafer wa warm and crispy on the outside Durian wa the cheap kind on the watery side hardly any sweetness nor wa it aromatic And it wa 680 Only went to try it because of some food And I to believe it wa good Disappointing,"[[('Wafer', 'NNP'), ('wa', 'NN'), ('warm', 'NN'), ('and', 'CC'), ('crispy', 'NN'), ('on', 'IN'), ('the', 'DT'), ('outside', 'JJ'), ('Durian', 'NNP'), ('wa', 'VBD'), ('the', 'DT'), ('cheap', 'JJ'), ('kind', 'NN'), ('on', 'IN'), ('the', 'DT'), ('watery', 'JJ'), ('side', 'NN'), ('hardly', 'RB'), ('any', 'DT'), ('sweetness', 'JJ'), ('nor', 'CC'), ('wa', 'JJ'), ('it', 'PRP'), ('aromatic', 'JJ'), ('And', 'CC'), ('it', 'PRP'), ('wa', 'VBD'), ('680', 'CD'), ('Only', 'RB'), ('went', 'VBD'), ('to', 'TO'), ('try', 'VB'), ('it', 'PRP'), ('because', 'IN'), ('of', 'IN'), ('some', 'DT'), ('food', 'NN'), ('And', 'CC'), ('I', 'PRP'), ('to', 'TO'), ('believe', 'VB'), ('it', 'PRP'), ('wa', 'RB'), ('good', 'JJ'), ('Disappointing', 'NNP')]]",0.6364583333333333
Arabian Nights,4,Plenty of ingredients and feels cleaner than other indian rojak stalls (didnt see any flies). Loved the potato and beancurd. Dipping sauce is served hot and on the sweeter side. $6 for the whole plate.,1.0,Plenty of ingredient and feel cleaner than other stall didnt see any fly the potato and Dipping sauce is hot and on the side 6 for the whole plate,"[[('Plenty', 'NN'), ('of', 'IN'), ('ingredient', 'NN'), ('and', 'CC'), ('feel', 'NN'), ('cleaner', 'JJR'), ('than', 'IN'), ('other', 'JJ'), ('stall', 'JJ'), ('didnt', 'NNS'), ('see', 'VBP'), ('any', 'DT'), ('fly', 'VB'), ('the', 'DT'), ('potato', 'NN'), ('and', 'CC'), ('Dipping', 'NNP'), ('sauce', 'NN'), ('is', 'VBZ'), ('hot', 'JJ'), ('and', 'CC'), ('on', 'IN'), ('the', 'DT'), ('side', 'NN'), ('6', 'CD'), ('for', 'IN'), ('the', 'DT'), ('whole', 'JJ'), ('plate', 'NN')]]",0.63125
Chester Express/My Western Bar,5,Love their Western food. ❤❤,1.0,Love their Western food  heart heart,"[[('Love', 'VB'), ('their', 'PRP$'), ('Western', 'JJ'), ('food', 'NN'), ('heart', 'NN'), ('heart', 'NN')]]",0.3
Al-Hayat,4,Fried mee goreng look good but on the blant side,0.0,Fried look good but on the side,"[[('Fried', 'VBN'), ('look', 'NN'), ('good', 'JJ'), ('but', 'CC'), ('on', 'IN'), ('the', 'DT'), ('side', 'NN')]]",0.6000000000000001
Happy Joy Restaurant,1,"Probably my first & last time eating @this restaurant. Had dinner last night, sad to say, the restaurant was unable to cope with the promotions. Observed some customers started to complain on food serve not hot, flow is slow and potion is miserable. Some even left without waiting for the 2nd round of order.😢",0.0,Probably my first last time eating this restaurant Had dinner last night sad to say the restaurant wa unable to cope with the promotion some customer to complain on food serve not hot flow is slow and potion is miserable Some even left without waiting for the 2nd round of order cry,"[[('Probably', 'RB'), ('my', 'PRP$'), ('first', 'JJ'), ('last', 'JJ'), ('time', 'NN'), ('eating', 'VBG'), ('this', 'DT'), ('restaurant', 'NN'), ('Had', 'VBD'), ('dinner', 'VBN'), ('last', 'JJ'), ('night', 'NN'), ('sad', 'NN'), ('to', 'TO'), ('say', 'VB'), ('the', 'DT'), ('restaurant', 'NN'), ('wa', 'NN'), ('unable', 'JJ'), ('to', 'TO'), ('cope', 'VB'), ('with', 'IN'), ('the', 'DT'), ('promotion', 'NN'), ('some', 'DT'), ('customer', 'NN'), ('to', 'TO'), ('complain', 'VB'), ('on', 'IN'), ('food', 'NN'), ('serve', 'NN'), ('not', 'RB'), ('hot', 'JJ'), ('flow', 'NN'), ('is', 'VBZ'), ('slow', 'JJ'), ('and', 'CC'), ('potion', 'NN'), ('is', 'VBZ'), ('miserable', 'JJ'), ('Some', 'DT'), ('even', 'RB'), ('left', 'VBD'), ('without', 'IN'), ('waiting', 'VBG'), ('for', 'IN'), ('the', 'DT'), ('2nd', 'CD'), ('round', 'NN'), ('of', 'IN'), ('order', 'NN'), ('cry', 'NN')]]",0.41969696969696973
Hiang Ji Cantonese Roasts,1,"Below average roast meat, poor service, overprice.
- No menu to see the price. Ordered 1 plate of 散拼 18$ (roast duck, roast pork, char siew).
- 1st bite, make me wonder why so many people eating compare to row of  stall beside it? Taste cannot make it, oily fatty and not crispy.
- Rude uncle using the dirty cloth to wipe the chair just before we are sitting down.
Zero star for it.",0.0,Below average roast meat poor service overprice No menu to see the price Ordered 1 plate of 18 roast duck roast pork char 1st bite make me wonder why so many people eating compare to row of stall beside it Taste can not make it oily fatty and not crispy Rude uncle the dirty cloth to wipe the chair just before we are sitting down Zero star for it,"[[('Below', 'IN'), ('average', 'JJ'), ('roast', 'JJ'), ('meat', 'NN'), ('poor', 'JJ'), ('service', 'NN'), ('overprice', 'NN'), ('No', 'NNP'), ('menu', 'NN'), ('to', 'TO'), ('see', 'VB'), ('the', 'DT'), ('price', 'NN'), ('Ordered', 'VBD'), ('1', 'CD'), ('plate', 'NN'), ('of', 'IN'), ('18', 'CD'), ('roast', 'JJ'), ('duck', 'NN'), ('roast', 'NN'), ('pork', 'NN'), ('char', 'NN'), ('1st', 'CD'), ('bite', 'NN'), ('make', 'VB'), ('me', 'PRP'), ('wonder', 'VB'), ('why', 'WRB'), ('so', 'RB'), ('many', 'JJ'), ('people', 'NNS'), ('eating', 'VBG'), ('compare', 'NN'), ('to', 'TO'), ('row', 'VB'), ('of', 'IN'), ('stall', 'JJ'), ('beside', 'IN'), ('it', 'PRP'), ('Taste', 'NNP'), ('can', 'MD'), ('not', 'RB'), ('make', 'VB'), ('it', 'PRP'), ('oily', 'RB'), ('fatty', 'RB'), ('and', 'CC'), ('not', 'RB'), ('crispy', 'VB'), ('Rude', 'NNP'), ('uncle', 'IN'), ('the', 'DT'), ('dirty', 'NN'), ('cloth', 'NN'), ('to', 'TO'), ('wipe', 'VB'), ('the', 'DT'), ('chair', 'NN'), ('just', 'RB'), ('before', 'IN'), ('we', 'PRP'), ('are', 'VBP'), ('sitting', 'VBG'), ('down', 'RP'), ('Zero', 'NNP'), ('star', 'NN'), ('for', 'IN'), ('it', 'PRP')]]",0.5126984126984127
Silk Road Restaurant - Amara Singapore,2,"The food was a huge disappointment. I used to come here often a few years ago and nothing tastes the same now. They probably changed their chefs, and skimmed on the material. Service was top-notch.",0.0,The food wa a huge disappointment I used to come here often a few year ago and nothing taste the same now They probably their chef and skimmed on the material Service wa topnotch,"[[('The', 'DT'), ('food', 'NN'), ('wa', 'VBZ'), ('a', 'DT'), ('huge', 'JJ'), ('disappointment', 'NN'), ('I', 'PRP'), ('used', 'VBD'), ('to', 'TO'), ('come', 'VB'), ('here', 'RB'), ('often', 'RB'), ('a', 'DT'), ('few', 'JJ'), ('year', 'NN'), ('ago', 'RB'), ('and', 'CC'), ('nothing', 'NN'), ('taste', 'NN'), ('the', 'DT'), ('same', 'JJ'), ('now', 'RB'), ('They', 'PRP'), ('probably', 'RB'), ('their', 'PRP$'), ('chef', 'NN'), ('and', 'CC'), ('skimmed', 'VBN'), ('on', 'IN'), ('the', 'DT'), ('material', 'NN'), ('Service', 'NNP'), ('wa', 'NN'), ('topnotch', 'NN')]]",0.38125000000000003
Tamako Meal,5,"Don't expect restaurant fare, in fact, Tamako's greatest selling point is the very heart-warming, homely meal you can't help but get addicted to.

Cozy place but still spacious: Portions are quite generous and doesn't really break the bank. 9/10 for me with the missing point easily gained if you request for the sides to be served separately.

Will be back!",1.0,Dont expect restaurant fare in fact selling point is the very homely meal you cant help but get addicted to Cozy place but still spacious are quite generous and doesnt really break the bank 910 for me with the missing point easily if you request for the side to be separately Will be back,"[[('Dont', 'NNP'), ('expect', 'VBP'), ('restaurant', 'NN'), ('fare', 'NN'), ('in', 'IN'), ('fact', 'NN'), ('selling', 'NN'), ('point', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('very', 'RB'), ('homely', 'RB'), ('meal', 'VB'), ('you', 'PRP'), ('cant', 'JJ'), ('help', 'NN'), ('but', 'CC'), ('get', 'VB'), ('addicted', 'VBN'), ('to', 'TO'), ('Cozy', 'NNP'), ('place', 'NN'), ('but', 'CC'), ('still', 'RB'), ('spacious', 'JJ'), ('are', 'VBP'), ('quite', 'RB'), ('generous', 'JJ'), ('and', 'CC'), ('doesnt', 'JJ'), ('really', 'RB'), ('break', 'VB'), ('the', 'DT'), ('bank', 'NN'), ('910', 'CD'), ('for', 'IN'), ('me', 'PRP'), ('with', 'IN'), ('the', 'DT'), ('missing', 'VBG'), ('point', 'NN'), ('easily', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('request', 'VBP'), ('for', 'IN'), ('the', 'DT'), ('side', 'NN'), ('to', 'TO'), ('be', 'VB'), ('separately', 'RB'), ('Will', 'NNP'), ('be', 'VB'), ('back', 'RB')]]",0.3904761904761905
OUE Social Kitchen,5,Very good staff and experience!!! Good time for team bonding,1.0,Very good staff and experience Good time for team bonding,"[[('Very', 'RB'), ('good', 'JJ'), ('staff', 'NN'), ('and', 'CC'), ('experience', 'NN'), ('Good', 'JJ'), ('time', 'NN'), ('for', 'IN'), ('team', 'NN'), ('bonding', 'NN')]]",0.6900000000000002
